sex;weight;height
M;77;182
F;58;161
F;53;161
M;68;177
F;59;157
M;76;170
M;76;167
M;69;186
M;71;178
M;65;171
M;70;175
F;51;161
F;64;168
F;52;163
F;65;166
M;92;187
F;62;168
M;76;197
F;61;175
M;119;180
F;61;170
M;65;175
M;66;173
F;54;171
F;50;166
F;63;169
F;58;166
F;39;157
M;101;183
F;71;166
M;75;178
M;79;173
F;52;164
F;68;169
M;64;176
F;56;166
M;69;174
M;88;178
M;65;187
F;54;164
M;80;178
F;63;163
M;78;183
M;85;179
F;54;160
M;73;180
F;49;161
F;54;174
F;75;162
M;82;182
F;56;165
M;74;169
M;102;185
M;64;177
M;65;176
F;66;170
M;73;183
M;75;172
M;57;173
M;68;165
M;71;177
M;71;180
F;78;173
M;97;189
F;60;162
F;64;165
F;64;164
F;52;158
M;80;178
F;62;175
M;66;173
F;55;165
F;56;163
F;50;166
F;50;171
F;50;160
F;63;160
M;69;182
M;69;183
F;61;165
M;55;168
F;53;169
F;60;167
F;56;170
M;59;182
M;62;178
F;53;165
F;57;163
F;57;162
M;70;173
F;56;161
M;84;184
M;69;180
M;88;189
F;56;165
M;103;185
F;50;169
F;52;159
F;55;155
F;55;164
M;63;178
F;47;163
F;45;163
F;62;175
F;53;164
F;52;152
F;57;167
F;64;166
F;59;166
M;84;183
M;79;179
F;55;174
M;67;179
F;76;167
F;62;168
M;83;184
M;96;184
M;75;169
M;65;178
M;78;178
M;69;167
F;68;178
F;55;165
M;67;179
F;52;169
F;47;153
F;45;157
F;68;171
F;44;157
F;62;166
M;87;185
F;56;160
F;50;148
M;83;177
F;53;162
F;64;172
F;62;167
M;90;188
M;85;191
M;66;175
F;52;163
F;53;165
F;54;176
F;64;171
F;55;160
F;55;165
F;59;157
F;70;173
M;88;184
F;57;168
F;47;162
F;47;150
F;55;162
F;48;163
M;54;169
M;69;172
F;59;170
F;58;169
F;57;167
F;51;163
F;54;161
F;53;162
F;59;172
M;56;163
F;59;159
F;63;170
F;66;166
M;96;191
F;53;158
M;76;169
F;54;163
M;61;170
M;82;176
M;62;168
M;71;178
F;60;174
M;66;170
M;81;178
M;68;174
M;80;176
F;43;154
M;82;181
F;63;165
M;70;173
F;56;162
F;60;172
F;58;169
M;76;183
F;50;158
M;88;185
M;89;173
F;59;164
F;51;156
F;62;164
M;74;175
M;83;180
M;81;175
M;90;181
M;79;177
F;160;146
